Nome;Minimo;Maximo;Sexo;Idade;Grau
Atleta 1;1;3;M;59;0.2
Atleta 2;1;3;M;59;0.8
Atleta 3;1;1;M;67;0.2
Atleta 4;0;1;M;37;0.5
Atleta 5;1;1;M;38;0.6
Atleta 6;0;1;M;37;0.5
Atleta 7;1;3;M;51;0.7
Atleta 8;1;3;M;62;0.8
Atleta 9;1;3;M;48;0.1
Atleta 10;1;3;M;56;0.4
Atleta 11;1;3;M;58;0.3
Atleta 12;1;3;M;63;0.1
Atleta 13;1;1;M;53;0.7
Atleta 14;1;3;M;59;0.1
Atleta 15;1;3;M;67;0.8
Atleta 16;0;1;M;58;0.7
Atleta 17;1;1;W;60;0.8
Atleta 18;1;3;W;44;0.7
Atleta 19;1;3;W;57;0.9
Atleta 20;1;3;W;48;0.5
Atleta 21;1;3;W;59;0.8
Atleta 22;1;3;W;49;0.3
Atleta 23;1;3;W;56;0.6
