ID;Data;Hora;Sexo;Classe;Lugares;Barco;Quantidade
#03;30/03;08:30;M;F;4;4-;1
#07;30/03;09:12;W;B;1;1X;1
#09;30/03;09:26;M;G;2;2X;1
#17;30/03;10:10;W;D;4;4-;1
#19;30/03;10:36;Mix;F;2;2X;1
#24;30/03;11:11;M;E;4;4+;1
#29;30/03;11:46;M;D;2;2X;1
#30;30/03;12:00;W;E;4;4-;1
#32;30/03;12:30;Mix;C;2;2X;1
#36;30/03;13:10;Mix;D;2;2X;1
#41;30/03;14:00;W;C;1;1X;1
#46;30/03;14:30;Mix;E;2;2X;1
#48;30/03;15:00;M;G;1;1X;1
#53;30/03;15:40;M;F;2;2X;1
#57;30/03;16:15;W;E;2;2X;1
#63;30/03;16:50;W;D;2;2X;1
#64;30/03;17:20;M;E;4;4-;1
