Prova;Barco;Data;Hora;Classe;MediaIdade;GrauFinal;AtletasAlocados
#03;4- (1/1);30/03;08:30;F;40.8;1.538;"Atleta 5 | Atleta 4 | Atleta 6 | Atleta 7"
#07;1X (1/1);30/03;09:12;B;44.0;0.300;"Atleta 18"
#09;2X (1/1);30/03;09:26;G;57.5;1.125;"Atleta 8 | Atleta 13"
#17;4- (1/1);30/03;10:10;D;53.3;0.463;"Atleta 20 | Atleta 19 | Atleta 21 | Atleta 22"
#19;2X (1/1);30/03;10:36;F;47.5;1.325;"Atleta 7 | Atleta 18"
#24;4+ (1/1);30/03;11:11;E;56.8;0.513;"Atleta 2 | Atleta 16 | Atleta 9 | Atleta 8"
#29;2X (1/1);30/03;11:46;D;61.5;0.050;"Atleta 10 | Atleta 15"
#30;4- (1/1);30/03;12:00;E;52.0;0.875;"Atleta 18 | Atleta 20 | Atleta 19 | Atleta 21"
#32;2X (1/1);30/03;12:30;C;50.0;0.150;"Atleta 7 | Atleta 22"
#36;2X (1/1);30/03;13:10;D;59.5;0.325;"Atleta 2 | Atleta 17"
#41;1X (1/1);30/03;14:00;C;48.0;0.250;"Atleta 20"
#46;2X (1/1);30/03;14:30;E;52.5;0.625;"Atleta 9 | Atleta 19"
#48;1X (1/1);30/03;15:00;G;59.0;1.100;"Atleta 2"
#53;2X (1/1);30/03;15:40;F;59.0;0.650;"Atleta 8 | Atleta 10"
#57;2X (1/1);30/03;16:15;E;54.0;0.600;"Atleta 21 | Atleta 22"
#64;4- (1/1);30/03;17:20;E;57.3;0.287;"Atleta 9 | Atleta 10 | Atleta 15 | Atleta 11"
